Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD400001,02/04/2025,C00002,P002,S003,R003,4,2288,1350.78,937.22,Birmingham Central,ELECTRONICS
ORD400001,02/04/2025,C00002,P002,S003,R003,4,2288,1350.78,937.22,Birmingham Central,ELECTRONICS
ORD400002,03/04/2025,C00002,P002,S003,R002,4,1028,621.13,406.87,BIRMINGHAM CENTRAL,ELECTRONICS
ORD400003,04/04/2025,C00003,P001,S003,R002,2,149,103.97,45.03, Birmingham Central,Electronics
ORD400004,05/04/2025,C00001,P003,S002,R003,2,925,680.36,244.64,Manchester Arndale,accessories
ORD400005,06/04/2025,C00003,P006,S001,R001,4,2421,1513.15,907.85,London Flagship,Gaming
ORD400006,07/04/2025,C00004,P004,S001,R001,1,524,346.32,177.68, London Flagship,Electronics
ORD400007,08/04/2025,C00004,P001,S001,R001,3,2432,1681.19,750.81, London Flagship,electronics
ORD400008,09/04/2025,C00001,P006,S001,R003,3,1948,1275.73,672.27,London Flagship,Gaming
ORD400009,10/04/2025,C00003,P003,S002,R003,1,171,110.83,60.17,Manchester Arndale ,Accessories
ORD400010,11/04/2025,C00003,P004,S002,R003,3,1688,939.07,748.93,MANCHESTER ARNDALE,ELECTRONICS
ORD400011,12/04/2025,C00002,P003,S002,R003,2,2495,1781.07,713.93, Manchester Arndale,Accessories
ORD400012,13/04/2025,C00004,P005,S001,R002,2,1851,1158.41,692.59, London Flagship,HOME OFFICE
ORD400013,14/04/2025,C00003,P002,S002,R003,4,1470,870.3,599.7,MANCHESTER ARNDALE,Electronics
ORD400014,15/04/2025,C00003,P005,S001,R002,4,828,566.86,261.14,London Flagship ,Home Office
ORD400015,16/04/2025,C00004,P003,S002,R003,5,1051,672.95,378.05, Manchester Arndale,accessories
ORD400016,17/04/2025,C00002,P006,S003,R003,2,880,668.08,211.92,BIRMINGHAM CENTRAL,Gaming
ORD400017,18/04/2025,C00001,P002,S002,R003,5,890,697.95,192.05,Manchester Arndale,ELECTRONICS
ORD400018,19/04/2025,C00001,P006,S001,R003,4,361,223.42,137.58, London Flagship,gaming
ORD400019,20/04/2025,C00004,P004,S001,R002,2,342,232.16,109.84,London Flagship ,Electronics
ORD400020,21/04/2025,C00004,P005,S003,R003,3,1375,1090.62,284.38,Birmingham Central,HOME OFFICE
ORD400021,22/04/2025,C00004,P002,S003,R003,4,929,564.06,364.94,Birmingham Central,ELECTRONICS
ORD400022,23/04/2025,C00002,P005,S001,R001,3,1950,1330.25,619.75, London Flagship,HOME OFFICE
ORD400023,24/04/2025,C00003,P005,S001,R001,2,1076,764.02,311.98, London Flagship,home office
ORD400024,25/04/2025,C00004,P006,S001,R002,1,1815,1443.57,371.43,LONDON FLAGSHIP,gaming
ORD400025,26/04/2025,C00004,P006,S001,R003,4,2403,1834.09,568.91,LONDON FLAGSHIP,Gaming
ORD400026,27/04/2025,C00002,P006,S002,R003,2,2318,1348.71,969.29,Manchester Arndale,gaming
ORD400027,28/04/2025,C00003,P003,S003,R002,1,1287,918.07,368.93, Birmingham Central,Accessories
