Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD200001,02/02/2025,C00003,P003,S001,R003,1,480,291.69,188.31,LONDON FLAGSHIP,accessories
ORD200001,02/02/2025,C00003,P003,S001,R003,1,480,291.69,188.31,LONDON FLAGSHIP,accessories
ORD200002,03/02/2025,C00002,P005,S003,R001,5,1056,641.87,414.13,BIRMINGHAM CENTRAL,HOME OFFICE
ORD200003,04/02/2025,C00004,P001,S003,R002,3,635,501.31,133.69,BIRMINGHAM CENTRAL,electronics
ORD200004,05/02/2025,C00004,P003,S001,R001,5,1130,859.72,270.28,LONDON FLAGSHIP,Accessories
ORD200005,06/02/2025,C00004,P001,S001,R002,1,607,390.36,216.64,London Flagship ,Electronics
ORD200006,07/02/2025,C00001,P006,S001,R003,1,1770,1031.51,738.49,London Flagship,gaming
ORD200007,08/02/2025,C00002,P002,S003,R002,1,488,304.81,183.19,Birmingham Central ,electronics
ORD200008,09/02/2025,C00001,P004,S001,R002,1,2213,1330.96,882.04,London Flagship ,Electronics
ORD200009,10/02/2025,C00002,P001,S003,R002,3,1092,614.31,477.69,Birmingham Central ,Electronics
ORD200010,11/02/2025,C00004,P005,S001,R003,2,1573,874.79,698.21, London Flagship,HOME OFFICE
ORD200011,12/02/2025,C00002,P004,S003,R001,4,1426,975.95,450.05,Birmingham Central ,ELECTRONICS
ORD200012,13/02/2025,C00002,P005,S003,R002,4,1827,1082.01,744.99, Birmingham Central,Home Office
ORD200013,14/02/2025,C00004,P002,S003,R003,1,269,190.99,78.01,Birmingham Central,ELECTRONICS
ORD200014,15/02/2025,C00003,P005,S003,R002,3,355,256.59,98.41,Birmingham Central ,Home Office
ORD200015,16/02/2025,C00003,P005,S002,R001,3,2009,1449.09,559.91,Manchester Arndale,Home Office
ORD200016,17/02/2025,C00002,P001,S003,R003,1,1184,845.28,338.72,BIRMINGHAM CENTRAL,Electronics
ORD200017,18/02/2025,C00001,P006,S003,R002,2,1130,622.2,507.8, Birmingham Central,gaming
ORD200018,19/02/2025,C00002,P003,S003,R001,1,563,436.83,126.17,BIRMINGHAM CENTRAL,ACCESSORIES
ORD200019,20/02/2025,C00002,P002,S001,R003,1,1070,699.3,370.7,London Flagship,ELECTRONICS
ORD200020,21/02/2025,C00001,P001,S001,R001,1,160,91.76,68.24,LONDON FLAGSHIP,Electronics
ORD200021,22/02/2025,C00002,P006,S002,R003,1,674,476.62,197.38,MANCHESTER ARNDALE,GAMING
ORD200022,23/02/2025,C00004,P006,S003,R001,3,2168,1425.1,742.9,Birmingham Central ,Gaming
ORD200023,24/02/2025,C00002,P005,S003,R002,5,2132,1335.77,796.23,Birmingham Central ,Home Office
ORD200024,25/02/2025,C00002,P006,S003,R003,4,756,426.66,329.34,BIRMINGHAM CENTRAL,Gaming
ORD200025,26/02/2025,C00004,P001,S002,R003,2,1327,737.49,589.51,Manchester Arndale,Electronics
ORD200026,27/02/2025,C00002,P006,S002,R003,4,2433,1936.16,496.84,MANCHESTER ARNDALE,Gaming
ORD200027,28/02/2025,C00004,P006,S002,R001,4,718,483.07,234.93,Manchester Arndale,GAMING
ORD200028,01/02/2025,C00002,P005,S003,R003,4,1486,965.12,520.88, Birmingham Central,Home Office
ORD200029,02/02/2025,C00003,P001,S001,R002,4,1159,869.72,289.28,London Flagship,electronics
ORD200030,03/02/2025,C00003,P003,S001,R001,5,2173,1683.58,489.42, London Flagship,ACCESSORIES
