Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD100001,02/01/2025,C00003,P006,S001,R003,1,625,422.45,202.55,LONDON FLAGSHIP,Gaming
ORD100001,02/01/2025,C00003,P006,S001,R003,1,625,422.45,202.55,LONDON FLAGSHIP,Gaming
ORD100002,03/01/2025,C00004,P004,S001,R002,4,763,591.02,171.98,London Flagship ,electronics
ORD100003,04/01/2025,C00003,P005,S001,R001,3,131,79.36,51.64,London Flagship ,home office
ORD100004,05/01/2025,C00004,P002,S003,R003,5,1058,628.38,429.62, Birmingham Central,Electronics
ORD100005,06/01/2025,C00004,P004,S003,R002,1,994,669.73,324.27,Birmingham Central,ELECTRONICS
ORD100006,07/01/2025,C00004,P003,S001,R002,2,1817,1411.86,405.14,London Flagship ,accessories
ORD100007,08/01/2025,C00002,P003,S002,R001,1,2217,1653.19,563.81,MANCHESTER ARNDALE,Accessories
ORD100008,09/01/2025,C00001,P005,S001,R002,3,1604,1136.06,467.94,LONDON FLAGSHIP,home office
ORD100009,10/01/2025,C00001,P003,S002,R002,2,639,491.6,147.4,Manchester Arndale,Accessories
ORD100010,11/01/2025,C00004,P006,S001,R001,4,1852,1067.12,784.88,London Flagship,GAMING
ORD100011,12/01/2025,C00004,P004,S002,R002,4,313,177.56,135.44,Manchester Arndale ,Electronics
ORD100012,13/01/2025,C00004,P002,S003,R001,2,462,350,112,Birmingham Central ,ELECTRONICS
ORD100013,14/01/2025,C00001,P003,S002,R003,3,961,624.4,336.6,Manchester Arndale ,accessories
ORD100014,15/01/2025,C00003,P004,S001,R001,4,2147,1514.27,632.73,LONDON FLAGSHIP,electronics
ORD100015,16/01/2025,C00004,P006,S003,R001,4,282,158.36,123.64, Birmingham Central,GAMING
ORD100016,17/01/2025,C00004,P005,S002,R003,1,2090,1524.26,565.74,Manchester Arndale ,Home Office
ORD100017,18/01/2025,C00001,P003,S003,R001,4,1769,1332.68,436.32,Birmingham Central,Accessories
ORD100018,19/01/2025,C00003,P005,S002,R003,3,1283,713.17,569.83,Manchester Arndale,HOME OFFICE
ORD100019,20/01/2025,C00004,P004,S001,R002,5,735,492.07,242.93,London Flagship ,Electronics
ORD100020,21/01/2025,C00004,P004,S003,R002,4,2137,1192.58,944.42, Birmingham Central,ELECTRONICS
ORD100021,22/01/2025,C00002,P006,S001,R003,4,1055,608.3,446.7, London Flagship,GAMING
ORD100022,23/01/2025,C00003,P005,S003,R002,4,1400,973.63,426.37,Birmingham Central,HOME OFFICE
ORD100023,24/01/2025,C00003,P006,S002,R003,1,1517,1071.97,445.03,Manchester Arndale ,GAMING
ORD100024,25/01/2025,C00001,P001,S003,R001,1,333,243.3,89.7,Birmingham Central ,electronics
ORD100025,26/01/2025,C00004,P006,S003,R003,4,577,431.46,145.54,Birmingham Central,Gaming
ORD100026,27/01/2025,C00002,P001,S001,R002,2,204,146.97,57.03,London Flagship,ELECTRONICS
ORD100027,28/01/2025,C00004,P005,S001,R003,4,1965,1197.79,767.21,London Flagship ,HOME OFFICE
ORD100028,01/01/2025,C00003,P006,S001,R003,3,506,397.4,108.6,London Flagship,GAMING
ORD100029,02/01/2025,C00001,P004,S002,R003,5,468,324.7,143.3, Manchester Arndale,ELECTRONICS
ORD100030,03/01/2025,C00004,P005,S002,R003,2,2068,1145.69,922.31,MANCHESTER ARNDALE,home office
ORD100031,04/01/2025,C00001,P005,S001,R003,5,2297,1662.03,634.97,London Flagship ,HOME OFFICE
ORD100032,05/01/2025,C00004,P006,S003,R001,2,288,224.17,63.83,BIRMINGHAM CENTRAL,GAMING
ORD100033,06/01/2025,C00001,P003,S001,R002,5,584,408.06,175.94,London Flagship ,accessories
ORD100034,07/01/2025,C00004,P001,S002,R002,3,2387,1595.05,791.95, Manchester Arndale,Electronics
ORD100035,08/01/2025,C00001,P003,S002,R002,4,1780,1238.82,541.18,Manchester Arndale ,accessories
ORD100036,09/01/2025,C00004,P003,S003,R002,2,1079,782.06,296.94,Birmingham Central ,Accessories
ORD100037,10/01/2025,C00004,P003,S003,R002,4,1876,1232.63,643.37,Birmingham Central ,Accessories
ORD100038,11/01/2025,C00001,P004,S003,R003,1,923,664.48,258.52,Birmingham Central,electronics
ORD100039,12/01/2025,C00003,P005,S003,R002,5,1925,1487.91,437.09,Birmingham Central,Home Office
ORD100040,13/01/2025,C00002,P003,S003,R003,1,1951,1208.32,742.68,BIRMINGHAM CENTRAL,ACCESSORIES
ORD100041,14/01/2025,C00004,P006,S003,R002,1,653,370.96,282.04,Birmingham Central,GAMING
ORD100042,15/01/2025,C00004,P003,S002,R003,5,1860,1191.61,668.39, Manchester Arndale,Accessories
ORD100043,16/01/2025,C00001,P002,S003,R003,1,1496,972.82,523.18,Birmingham Central,ELECTRONICS
ORD100044,17/01/2025,C00003,P003,S001,R001,5,1749,980.36,768.64,LONDON FLAGSHIP,ACCESSORIES
ORD100045,18/01/2025,C00003,P002,S003,R001,2,1934,1264.34,669.66, Birmingham Central,Electronics
ORD100046,19/01/2025,C00003,P005,S003,R002,3,1861,1487.45,373.55,Birmingham Central ,home office
ORD100047,20/01/2025,C00004,P001,S001,R003,1,908,512.36,395.64,LONDON FLAGSHIP,Electronics
ORD100048,21/01/2025,C00001,P005,S001,R002,1,1921,1195.21,725.79,London Flagship ,home office
ORD100049,22/01/2025,C00003,P004,S003,R003,1,1916,1284.57,631.43,BIRMINGHAM CENTRAL,electronics
