Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD600001,02/06/2025,C00003,P003,S001,R002,3,894,595.72,298.28, London Flagship,Accessories
ORD600001,02/06/2025,C00003,P003,S001,R002,3,894,595.72,298.28, London Flagship,Accessories
ORD600002,03/06/2025,C00003,P004,S002,R003,2,2425,1912.81,512.19,Manchester Arndale,electronics
ORD600003,04/06/2025,C00003,P004,S002,R002,4,687,505.52,181.48,Manchester Arndale,ELECTRONICS
ORD600004,05/06/2025,C00002,P004,S002,R001,5,640,384.97,255.03, Manchester Arndale,ELECTRONICS
ORD600005,06/06/2025,C00002,P006,S003,R001,5,167,102.53,64.47,Birmingham Central,gaming
ORD600006,07/06/2025,C00001,P001,S003,R003,3,1668,1042.82,625.18, Birmingham Central,Electronics
ORD600007,08/06/2025,C00002,P001,S003,R003,1,1471,1055.13,415.87,Birmingham Central,Electronics
ORD600008,09/06/2025,C00002,P002,S003,R002,2,673,386.5,286.5,BIRMINGHAM CENTRAL,electronics
ORD600009,10/06/2025,C00004,P002,S002,R001,4,479,317.48,161.52,MANCHESTER ARNDALE,Electronics
ORD600010,11/06/2025,C00003,P002,S002,R003,4,850,601.78,248.22,Manchester Arndale,ELECTRONICS
ORD600011,12/06/2025,C00003,P005,S002,R001,4,1819,1451.18,367.82,Manchester Arndale,home office
ORD600012,13/06/2025,C00001,P006,S001,R001,4,1980,1163.57,816.43,London Flagship,gaming
ORD600013,14/06/2025,C00002,P001,S003,R002,5,2312,1825.31,486.69,Birmingham Central,Electronics
ORD600014,15/06/2025,C00003,P005,S002,R002,5,2297,1611.33,685.67, Manchester Arndale,home office
ORD600015,16/06/2025,C00002,P004,S001,R003,4,1716,1101.17,614.83, London Flagship,ELECTRONICS
ORD600016,17/06/2025,C00003,P004,S001,R002,1,1665,1009.22,655.78,LONDON FLAGSHIP,ELECTRONICS
ORD600017,18/06/2025,C00001,P004,S001,R003,2,283,174.31,108.69,London Flagship,ELECTRONICS
ORD600018,19/06/2025,C00001,P003,S001,R001,1,2322,1577.74,744.26,LONDON FLAGSHIP,accessories
ORD600019,20/06/2025,C00004,P003,S002,R001,5,2094,1436.9,657.1, Manchester Arndale,Accessories
ORD600020,21/06/2025,C00004,P004,S003,R002,3,1073,706.1,366.9,Birmingham Central ,Electronics
ORD600021,22/06/2025,C00004,P001,S003,R003,3,2198,1505.72,692.28,Birmingham Central ,ELECTRONICS
ORD600022,23/06/2025,C00001,P005,S001,R002,2,2204,1441.9,762.1,London Flagship ,home office
ORD600023,24/06/2025,C00002,P001,S001,R001,4,1687,1089.67,597.33,LONDON FLAGSHIP,Electronics
ORD600024,25/06/2025,C00003,P001,S001,R002,5,1750,983.56,766.44,London Flagship ,Electronics
ORD600025,26/06/2025,C00004,P004,S001,R001,1,1033,719.57,313.43, London Flagship,Electronics
ORD600026,27/06/2025,C00002,P006,S001,R003,1,200,145.44,54.56,London Flagship,GAMING
ORD600027,28/06/2025,C00004,P006,S001,R003,3,397,316.95,80.05,London Flagship,gaming
ORD600028,01/06/2025,C00004,P003,S001,R002,3,1390,898.34,491.66,London Flagship ,ACCESSORIES
ORD600029,02/06/2025,C00003,P005,S003,R003,1,650,421.52,228.48,Birmingham Central,HOME OFFICE
ORD600030,03/06/2025,C00002,P003,S002,R003,5,1528,1075.51,452.49,MANCHESTER ARNDALE,ACCESSORIES
ORD600031,04/06/2025,C00002,P006,S003,R003,2,318,250.02,67.98,BIRMINGHAM CENTRAL,GAMING
ORD600032,05/06/2025,C00002,P002,S001,R002,5,781,518.67,262.33,London Flagship ,Electronics
ORD600033,06/06/2025,C00004,P006,S002,R003,3,674,416.02,257.98, Manchester Arndale,Gaming
ORD600034,07/06/2025,C00003,P005,S001,R002,5,2019,1399.8,619.2,London Flagship ,home office
ORD600035,08/06/2025,C00002,P002,S001,R002,5,213,122.23,90.77,LONDON FLAGSHIP,Electronics
ORD600036,09/06/2025,C00001,P003,S002,R003,5,1885,1310.58,574.42,MANCHESTER ARNDALE,accessories
ORD600037,10/06/2025,C00002,P003,S003,R001,5,1580,1090.08,489.92,BIRMINGHAM CENTRAL,accessories
ORD600038,11/06/2025,C00001,P003,S002,R002,5,1883,1079.91,803.09, Manchester Arndale,ACCESSORIES
ORD600039,12/06/2025,C00003,P006,S002,R003,2,1127,774.33,352.67, Manchester Arndale,Gaming
ORD600040,13/06/2025,C00002,P005,S003,R001,2,2410,1385.16,1024.84,Birmingham Central ,Home Office
ORD600041,14/06/2025,C00002,P004,S002,R001,2,156,101.94,54.06,Manchester Arndale,electronics
ORD600042,15/06/2025,C00001,P001,S001,R001,4,2187,1655.18,531.82, London Flagship,Electronics
ORD600043,16/06/2025,C00001,P003,S001,R003,5,1605,1037.07,567.93,London Flagship,Accessories
ORD600044,17/06/2025,C00002,P006,S003,R002,1,563,411.84,151.16,Birmingham Central ,Gaming
ORD600045,18/06/2025,C00002,P006,S001,R002,2,1736,1036.67,699.33,London Flagship,Gaming
ORD600046,19/06/2025,C00004,P006,S003,R002,5,1403,996.23,406.77, Birmingham Central,gaming
ORD600047,20/06/2025,C00001,P002,S003,R002,4,579,401.2,177.8,Birmingham Central,Electronics
ORD600048,21/06/2025,C00001,P005,S003,R001,5,1638,1067.09,570.91,Birmingham Central ,Home Office
