Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD300001,02/03/2025,C00003,P005,S002,R002,4,361,203.06,157.94,MANCHESTER ARNDALE,HOME OFFICE
ORD300001,02/03/2025,C00003,P005,S002,R002,4,361,203.06,157.94,MANCHESTER ARNDALE,HOME OFFICE
ORD300002,03/03/2025,C00004,P003,S002,R002,4,1438,1062.27,375.73,MANCHESTER ARNDALE,ACCESSORIES
ORD300003,04/03/2025,C00004,P001,S001,R001,3,805,448.67,356.33,LONDON FLAGSHIP,Electronics
ORD300004,05/03/2025,C00004,P002,S003,R002,3,1221,860.45,360.55,Birmingham Central ,Electronics
ORD300005,06/03/2025,C00003,P006,S002,R001,4,1106,621.6,484.4,Manchester Arndale ,gaming
ORD300006,07/03/2025,C00001,P004,S003,R002,1,1273,953.56,319.44,BIRMINGHAM CENTRAL,ELECTRONICS
ORD300007,08/03/2025,C00004,P004,S001,R001,4,2220,1357.27,862.73,LONDON FLAGSHIP,ELECTRONICS
ORD300008,09/03/2025,C00001,P005,S003,R003,1,479,292.25,186.75, Birmingham Central,HOME OFFICE
ORD300009,10/03/2025,C00003,P001,S002,R001,3,2382,1903.52,478.48, Manchester Arndale,ELECTRONICS
ORD300010,11/03/2025,C00003,P002,S003,R002,5,1185,665.04,519.96,BIRMINGHAM CENTRAL,electronics
ORD300011,12/03/2025,C00002,P002,S002,R003,2,1249,707,542, Manchester Arndale,electronics
ORD300012,13/03/2025,C00002,P002,S002,R003,2,160,91.73,68.27,MANCHESTER ARNDALE,Electronics
ORD300013,14/03/2025,C00004,P002,S003,R003,5,1971,1494.02,476.98,Birmingham Central,ELECTRONICS
ORD300014,15/03/2025,C00002,P001,S001,R003,4,821,531.24,289.76,London Flagship ,electronics
ORD300015,16/03/2025,C00002,P001,S003,R001,5,729,475.37,253.63,Birmingham Central,ELECTRONICS
ORD300016,17/03/2025,C00001,P004,S002,R002,4,855,627.57,227.43,Manchester Arndale,ELECTRONICS
ORD300017,18/03/2025,C00002,P002,S002,R001,3,1693,1207.87,485.13, Manchester Arndale,ELECTRONICS
ORD300018,19/03/2025,C00003,P001,S002,R001,2,1912,1385.05,526.95,MANCHESTER ARNDALE,electronics
ORD300019,20/03/2025,C00002,P001,S003,R002,5,2182,1217.15,964.85, Birmingham Central,electronics
ORD300020,21/03/2025,C00004,P003,S001,R003,1,1708,1161.4,546.6, London Flagship,ACCESSORIES
ORD300021,22/03/2025,C00002,P002,S001,R002,4,564,408.05,155.95,London Flagship,Electronics
ORD300022,23/03/2025,C00003,P001,S001,R001,4,695,530.62,164.38,London Flagship ,electronics
ORD300023,24/03/2025,C00003,P002,S002,R001,5,1163,757.8,405.2,Manchester Arndale ,electronics
ORD300024,25/03/2025,C00001,P002,S003,R002,5,148,97.38,50.62,BIRMINGHAM CENTRAL,electronics
ORD300025,26/03/2025,C00002,P001,S003,R003,4,1839,1468.66,370.34,Birmingham Central ,Electronics
ORD300026,27/03/2025,C00003,P004,S003,R003,2,1503,833.7,669.3,Birmingham Central ,Electronics
ORD300027,28/03/2025,C00002,P003,S003,R001,1,207,149.15,57.85,BIRMINGHAM CENTRAL,accessories
ORD300028,01/03/2025,C00004,P001,S003,R001,2,998,749.43,248.57,Birmingham Central,ELECTRONICS
ORD300029,02/03/2025,C00004,P006,S003,R001,5,789,603.23,185.77, Birmingham Central,gaming
ORD300030,03/03/2025,C00002,P004,S001,R002,2,335,215.44,119.56,LONDON FLAGSHIP,electronics
ORD300031,04/03/2025,C00004,P002,S001,R002,2,114,72.71,41.29,London Flagship ,Electronics
ORD300032,05/03/2025,C00002,P003,S002,R003,5,462,306.7,155.3,MANCHESTER ARNDALE,ACCESSORIES
ORD300033,06/03/2025,C00002,P002,S001,R002,3,1826,1304.59,521.41,London Flagship,ELECTRONICS
ORD300034,07/03/2025,C00003,P004,S003,R001,2,1181,835.34,345.66,Birmingham Central ,ELECTRONICS
ORD300035,08/03/2025,C00003,P002,S002,R001,1,1242,804.49,437.51,Manchester Arndale ,electronics
ORD300036,09/03/2025,C00003,P004,S003,R001,2,1486,865.57,620.43,Birmingham Central,Electronics
ORD300037,10/03/2025,C00001,P001,S003,R002,1,2148,1410.85,737.15,BIRMINGHAM CENTRAL,ELECTRONICS
ORD300038,11/03/2025,C00004,P003,S001,R001,2,1078,786.47,291.53,London Flagship,Accessories
ORD300039,12/03/2025,C00002,P001,S001,R002,4,1133,748.06,384.94,London Flagship,ELECTRONICS
ORD300040,13/03/2025,C00003,P004,S003,R002,4,2161,1309.5,851.5, Birmingham Central,Electronics
ORD300041,14/03/2025,C00001,P004,S002,R002,4,1430,1085.81,344.19,MANCHESTER ARNDALE,Electronics
ORD300042,15/03/2025,C00003,P005,S003,R003,3,1916,1228.91,687.09, Birmingham Central,Home Office
ORD300043,16/03/2025,C00003,P002,S002,R003,3,1075,640.67,434.33,Manchester Arndale ,electronics
ORD300044,17/03/2025,C00002,P003,S002,R003,3,1993,1279.51,713.49,Manchester Arndale ,Accessories
ORD300045,18/03/2025,C00004,P006,S002,R001,4,1817,1235.49,581.51,Manchester Arndale ,Gaming
ORD300046,19/03/2025,C00003,P005,S001,R002,4,1818,1433.52,384.48,London Flagship ,HOME OFFICE
ORD300047,20/03/2025,C00003,P004,S002,R003,2,176,118.38,57.62,Manchester Arndale,electronics
ORD300048,21/03/2025,C00001,P002,S001,R003,3,1548,1034.18,513.82, London Flagship,Electronics
ORD300049,22/03/2025,C00003,P003,S002,R003,4,748,432.38,315.62,Manchester Arndale ,Accessories
ORD300050,23/03/2025,C00002,P004,S003,R003,2,109,78.01,30.99,Birmingham Central,Electronics
ORD300051,24/03/2025,C00001,P001,S003,R003,5,426,331.4,94.6,Birmingham Central ,electronics
ORD300052,25/03/2025,C00004,P006,S002,R003,4,277,156.49,120.51, Manchester Arndale,gaming
ORD300053,26/03/2025,C00004,P005,S001,R003,3,1278,891.7,386.3,LONDON FLAGSHIP,home office
ORD300054,27/03/2025,C00003,P006,S001,R001,3,1325,835.78,489.22,London Flagship,Gaming
ORD300055,28/03/2025,C00002,P005,S002,R003,2,2032,1273.04,758.96,Manchester Arndale,Home Office
