Order ID,Order Date,Customer ID,Product ID,Store ID,Sales Rep ID,Quantity,Sales Amount,Cost Amount,Gross Profit,Store Name,Category
ORD500001,02/05/2025,C00001,P005,S001,R001,4,288,226.13,61.87, London Flagship,HOME OFFICE
ORD500001,02/05/2025,C00001,P005,S001,R001,4,288,226.13,61.87, London Flagship,HOME OFFICE
ORD500002,03/05/2025,C00004,P006,S001,R001,3,2280,1372.42,907.58,London Flagship ,GAMING
ORD500003,04/05/2025,C00001,P003,S003,R002,3,971,548.6,422.4,Birmingham Central,Accessories
ORD500004,05/05/2025,C00001,P001,S003,R002,4,1538,1024.1,513.9,Birmingham Central,electronics
ORD500005,06/05/2025,C00003,P004,S002,R001,5,2449,1646.55,802.45,MANCHESTER ARNDALE,ELECTRONICS
ORD500006,07/05/2025,C00002,P002,S002,R001,3,259,204.56,54.44,MANCHESTER ARNDALE,Electronics
ORD500007,08/05/2025,C00003,P002,S001,R001,5,289,160.77,128.23, London Flagship,Electronics
ORD500008,09/05/2025,C00001,P006,S002,R001,3,1752,1305.53,446.47,MANCHESTER ARNDALE,Gaming
ORD500009,10/05/2025,C00004,P005,S001,R002,5,561,319.82,241.18,London Flagship,Home Office
ORD500010,11/05/2025,C00003,P003,S001,R002,1,810,589.83,220.17,LONDON FLAGSHIP,accessories
ORD500011,12/05/2025,C00002,P002,S003,R003,3,271,158.7,112.3,Birmingham Central,electronics
ORD500012,13/05/2025,C00001,P001,S002,R002,4,180,114.33,65.67, Manchester Arndale,Electronics
ORD500013,14/05/2025,C00004,P005,S002,R001,3,1628,1238.55,389.45,Manchester Arndale ,home office
ORD500014,15/05/2025,C00002,P002,S003,R002,4,211,136.73,74.27,BIRMINGHAM CENTRAL,Electronics
ORD500015,16/05/2025,C00002,P006,S002,R002,3,805,468.01,336.99, Manchester Arndale,gaming
ORD500016,17/05/2025,C00002,P004,S002,R002,1,1457,1071.76,385.24,Manchester Arndale ,ELECTRONICS
ORD500017,18/05/2025,C00004,P004,S002,R003,1,1960,1094.92,865.08,Manchester Arndale ,ELECTRONICS
ORD500018,19/05/2025,C00003,P003,S003,R002,3,1140,826.82,313.18,Birmingham Central ,accessories
ORD500019,20/05/2025,C00001,P003,S003,R003,3,1209,783.63,425.37, Birmingham Central,accessories
ORD500020,21/05/2025,C00001,P004,S002,R003,5,187,127.15,59.85,Manchester Arndale,electronics
ORD500021,22/05/2025,C00003,P001,S001,R003,4,1761,1000.14,760.86,London Flagship,electronics
ORD500022,23/05/2025,C00004,P006,S003,R002,1,1539,970.64,568.36,Birmingham Central ,gaming
ORD500023,24/05/2025,C00001,P006,S002,R001,4,1260,869.24,390.76,Manchester Arndale,gaming
ORD500024,25/05/2025,C00001,P003,S001,R001,3,1164,717.54,446.46,LONDON FLAGSHIP,Accessories
ORD500025,26/05/2025,C00003,P003,S003,R001,1,1425,1108.15,316.85,Birmingham Central,accessories
ORD500026,27/05/2025,C00002,P003,S002,R003,1,740,523,217, Manchester Arndale,accessories
ORD500027,28/05/2025,C00004,P001,S002,R002,5,1408,1000.35,407.65,Manchester Arndale ,Electronics
ORD500028,01/05/2025,C00002,P003,S003,R001,5,883,574.21,308.79,Birmingham Central ,Accessories
ORD500029,02/05/2025,C00002,P005,S001,R001,1,2260,1640.84,619.16,London Flagship ,home office
ORD500030,03/05/2025,C00004,P006,S002,R001,5,2230,1632.34,597.66, Manchester Arndale,Gaming
ORD500031,04/05/2025,C00004,P002,S003,R003,1,194,138.84,55.16, Birmingham Central,electronics
ORD500032,05/05/2025,C00001,P006,S002,R002,3,1518,897.96,620.04,Manchester Arndale ,Gaming
ORD500033,06/05/2025,C00001,P004,S002,R002,4,2273,1635.1,637.9,MANCHESTER ARNDALE,Electronics
ORD500034,07/05/2025,C00004,P004,S002,R002,5,1409,831.04,577.96,Manchester Arndale ,Electronics
ORD500035,08/05/2025,C00003,P001,S002,R001,1,1280,889.04,390.96, Manchester Arndale,electronics
ORD500036,09/05/2025,C00002,P002,S002,R002,3,1423,926.22,496.78,Manchester Arndale,ELECTRONICS
ORD500037,10/05/2025,C00001,P006,S003,R003,5,158,106.66,51.34,Birmingham Central,gaming
ORD500038,11/05/2025,C00003,P001,S001,R002,3,104,75.73,28.27,London Flagship,ELECTRONICS
ORD500039,12/05/2025,C00002,P004,S001,R001,4,1741,1277.65,463.35,London Flagship,electronics
ORD500040,13/05/2025,C00001,P002,S001,R003,1,1910,1221.38,688.62, London Flagship,electronics
ORD500041,14/05/2025,C00003,P004,S001,R002,5,602,361.55,240.45,London Flagship ,electronics
ORD500042,15/05/2025,C00003,P005,S003,R001,2,1896,1129.36,766.64,Birmingham Central,Home Office
ORD500043,16/05/2025,C00002,P005,S002,R003,4,1087,789.89,297.11,Manchester Arndale,HOME OFFICE
ORD500044,17/05/2025,C00004,P002,S001,R002,2,2454,1845.16,608.84,London Flagship,electronics
ORD500045,18/05/2025,C00001,P005,S001,R001,4,806,456.04,349.96,LONDON FLAGSHIP,Home Office
ORD500046,19/05/2025,C00001,P001,S002,R002,4,480,311.85,168.15,Manchester Arndale,electronics
ORD500047,20/05/2025,C00004,P006,S001,R002,5,856,575.02,280.98,LONDON FLAGSHIP,gaming
ORD500048,21/05/2025,C00004,P002,S002,R003,3,747,470.24,276.76,Manchester Arndale,Electronics
ORD500049,22/05/2025,C00004,P001,S001,R003,3,1180,685.48,494.52,London Flagship,ELECTRONICS
ORD500050,23/05/2025,C00002,P003,S003,R001,2,732,493.92,238.08, Birmingham Central,Accessories
ORD500051,24/05/2025,C00004,P002,S002,R003,4,2392,1462.78,929.22,MANCHESTER ARNDALE,electronics
ORD500052,25/05/2025,C00001,P006,S001,R002,3,1214,732.94,481.06,London Flagship,GAMING
ORD500053,26/05/2025,C00001,P003,S001,R002,1,201,139.77,61.23, London Flagship,Accessories
ORD500054,27/05/2025,C00001,P004,S001,R003,3,1576,1233.48,342.52,LONDON FLAGSHIP,electronics
ORD500055,28/05/2025,C00002,P004,S001,R001,5,183,129.54,53.46,London Flagship,Electronics
ORD500056,01/05/2025,C00001,P006,S002,R001,3,1991,1297.27,693.73,Manchester Arndale,Gaming
ORD500057,02/05/2025,C00002,P002,S002,R002,1,1488,1059.99,428.01, Manchester Arndale,ELECTRONICS
ORD500058,03/05/2025,C00004,P006,S001,R002,1,1147,836.14,310.86,LONDON FLAGSHIP,GAMING
ORD500059,04/05/2025,C00001,P002,S003,R003,2,2375,1564.93,810.07,BIRMINGHAM CENTRAL,Electronics
ORD500060,05/05/2025,C00001,P002,S002,R003,5,2481,1707.88,773.12, Manchester Arndale,Electronics
ORD500061,06/05/2025,C00003,P006,S003,R003,5,1060,815.52,244.48, Birmingham Central,Gaming
ORD500062,07/05/2025,C00001,P005,S003,R002,1,645,477.84,167.16,BIRMINGHAM CENTRAL,HOME OFFICE
ORD500063,08/05/2025,C00003,P001,S003,R002,2,780,435.4,344.6,Birmingham Central ,electronics
ORD500064,09/05/2025,C00003,P005,S003,R003,4,1254,807.96,446.04,Birmingham Central,HOME OFFICE
ORD500065,10/05/2025,C00003,P004,S002,R002,1,691,500.24,190.76,MANCHESTER ARNDALE,Electronics
ORD500066,11/05/2025,C00002,P001,S001,R003,5,110,85.16,24.84,LONDON FLAGSHIP,ELECTRONICS
ORD500067,12/05/2025,C00001,P005,S002,R002,2,1472,836.81,635.19,Manchester Arndale,Home Office
ORD500068,13/05/2025,C00003,P003,S002,R003,5,2437,1414.44,1022.56, Manchester Arndale,ACCESSORIES
